Tarih,Gunduz_Gece,Max_Sicaklik,Maks_UV_Indeksi,Ruzgar,Yagis_Beklentisi,Gok_Gurultulu_Saganak_Yagis_Olasiligi,Yagis,Bulutlarla_Kapli
"Salı, 7 Kasım",Gündüz,26°En Yüks.,3 Orta,GGB 6 km/sa,%1,%0,0.0 mm,%9
"Çarşamba, 8 Kasım",Gündüz,26°En Yüks.,3 Orta,G 9 km/sa,%0,%0,0.0 mm,%55
"Perşembe, 9 Kasım",Gündüz,22°En Yüks.,3 Orta,GB 9 km/sa,%90,,7.6 mm,%69
"Cuma, 10 Kasım",Gündüz,22°En Yüks.,2 İyi,GGD 9 km/sa,%2,%0,0.0 mm,%51
"Cumartesi, 11 Kasım",Gündüz,23°En Yüks.,1 İyi,GGD 20 km/sa,%87,,9.2 mm,%99
"Pazar, 12 Kasım",Gündüz,22°En Yüks.,3 Orta,G 13 km/sa,%42,,0.6 mm,%65
"Pazartesi, 13 Kasım",Gündüz,20°En Yüks.,1 İyi,GD 11 km/sa,%55,,1.3 mm,%96
"Salı, 7 Kasım",Gece,20°En Yüks.,,BGB 6 km/sa,%1,%0,0.0 mm,%0
"Çarşamba, 8 Kasım",Gece,20°En Yüks.,,GGD 9 km/sa,%4,%0,0.0 mm,%67
"Perşembe, 9 Kasım",Gece,20°En Yüks.,,K 7 km/sa,%3,%0,0.0 mm,%20
"Cuma, 10 Kasım",Gece,20°En Yüks.,,GD 11 km/sa,%10,%0,0.0 mm,%43
"Cumartesi, 11 Kasım",Gece,20°En Yüks.,,GD 17 km/sa,%100,,48.0 mm,%98
"Pazar, 12 Kasım",Gece,20°En Yüks.,,DGD 6 km/sa,%13,%0,0.0 mm,%68
"Pazartesi, 13 Kasım",Gece,20°En Yüks.,,DGD 9 km/sa,%65,,13.9 mm,%100
